Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CAP-SMD_L3.2-W1.6,27.7,-10.8,180.0,top
C2,10uF,CAP-SMD_L3.2-W1.6,43.1,-3.0,180.0,top
Q1,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,46.6,-6.0,-90.0,top
Q2,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,50.3,-6.0,-90.0,top
Q3,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,30.7,-13.8015,0.0,top
Q4,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,30.7,-17.35,0.0,top
Q5,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,30.6,-31.378,0.0,top
Q6,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,30.6,-27.822,0.0,top
Q7,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,30.6,-24.266,0.0,top
R1,"10kΩ",R0603,45.55,-9.8,-90.0,top
R10,"10kΩ",R0603,33.4,-31.4465,90.0,top
R11,"10kΩ",R0603,27.0,-23.2,180.0,top
R12,"10kΩ",R0603,33.4,-27.8465,90.0,top
R13,"10kΩ",R0603,27.1,-21.1,180.0,top
R14,"10kΩ",R0603,33.4,-24.7,90.0,top
R15,5.1kΩ,R0603,42.4,-5.9,180.0,top
R16,5.1kΩ,R0603,42.4,-7.4,180.0,top
R2,"10kΩ",R0603,27.0,-12.9,180.0,top
R3,"10kΩ",R0603,49.25,-9.8,-90.0,top
R4,"10kΩ",R0603,27.0,-14.9,180.0,top
R5,"10kΩ",R0603,33.5,-13.8,90.0,top
R6,"10kΩ",R0603,27.1,-17.0,180.0,top
R7,"10kΩ",R0603,33.5,-16.8,90.0,top
R8,"10kΩ",R0603,27.1,-19.1,180.0,top
R9,"10kΩ",R0603,27.1,-25.3,180.0,top
SW1,,SW-SMD_MSK12CO2,56.8,-4.375,180.0,top
USB-1,Val**,USB-C_SMD-TYPE-C-31-M-12_1,35.2,-6.67275,180.0,top
